"tipvg","price","count"
"К",758,26530
"К",759,25047
"К",760,53200
"К",761,3805
"К",762,10668
"К",763,6867
"К",764,6112
"К",765,30600
"К",766,9958
"К",767,20709
"К",768,10752
"К",769,19994
"К",770,10010
"К",771,34695
"К",772,4632
"К",773,4638
"К",774,2322
"К",775,11625
"К",776,3880
"К",777,2331
"К",778,5446
"К",779,3895
"К",780,7800
"К",781,781
"К",782,28934
"К",783,10179
"К",784,23520
"К",785,44745
"К",786,4716
"К",787,58238
"К",788,85892
"К",789,11835
"К",790,32390
"К",791,10283
"К",792,26928
"К",793,4758
"К",794,36524
"К",795,23850
"К",796,11144
"К",797,7173
"К",798,15960
"К",799,81498
"К",800,39200
"К",801,8010
"К",802,55338
"К",803,66649
"К",804,41808
"К",805,34615
"К",806,24180
"К",807,10491
"К",808,18584
"К",809,38023
"К",810,21870
"К",811,11354
"К",812,38164
"К",813,4878
"К",814,46398
"К",815,20375
"К",816,10608
"К",817,45752
"К",818,24540
"К",819,10647
"К",820,31980
"К",821,3284
"К",822,4932
"К",823,2469
"К",824,3296
"К",825,0
"К",826,2478
"К",827,11578
"К",828,1656
"К",829,40621
"К",830,830
"К",831,11634
"К",832,19136
"К",833,2499
"К",834,23352
"К",835,14195
"К",836,0
"К",837,0
"К",838,0
"К",839,3356
"К",840,3360
"К",841,0
"К",842,9262
"К",843,17703
"К",844,5064
"К",845,11830
"К",846,0
"К",847,24563
"К",848,20352
"К",849,9339
"К",850,4250
"К",851,11914
"К",852,0
"К",853,11942
"К",854,5124
"К",855,3420
"К",856,3424
"К",857,4285
"К",858,858
"К",859,3436
"К",860,1720
"К",861,861
"К",862,37066
"К",863,863
"К",864,9504
"К",865,3460
"К",866,1732
"К",867,867
"К",868,8680
"К",869,869
"К",870,3480
"К",871,0
"К",872,5232
"К",873,1746
"К",874,0
"К",875,21875
"К",876,0
"К",877,6139
"К",878,878
"К",879,5274
"К",880,4400
"К",881,0
"К",882,2646
"К",883,4415
"К",884,1768
"К",885,2655
"К",886,886
"К",887,2661
"К",888,4440
"К",889,20447
"К",890,0
"К",891,6237
"К",892,2676
"К",893,6251
"К",894,4470
"К",895,1790
"К",896,896
"К",897,0
"К",898,0
"К",899,899
"К",900,4500
"К",901,5406
"К",902,0
"К",903,94815
"К",904,0
"К",905,6335
"К",906,0
"К",907,907
"К",908,0
"К",909,16362
"К",910,22750
"К",911,20953
"К",912,0
"К",913,18260
"К",914,0
"К",915,11895
"К",916,48548
"К",917,3668
"К",918,9180
"К",919,8271
"К",920,920
"К",921,921
"К",922,3688
"К",923,48919
"К",924,12936
"К",925,36075
"К",926,0
"К",927,19467
"К",928,2784
"К",929,1858
"К",930,21390
"К",931,11172
"К",932,9320
"К",933,933
"К",934,17746
"К",935,28050
"К",936,23400
"К",937,27173
"К",938,12194
"К",939,2817
"К",940,0
"К",941,4705
"К",942,28260
"К",943,0
"К",944,24544
"К",945,4725
"К",946,0
"К",947,11364
"К",948,14220
"К",949,22776
"К",950,1900
"К",951,11412
"К",952,15232
"К",953,0
"К",954,0
"К",955,0
"К",956,3824
"К",957,0
"К",958,24908
"К",959,27811
"К",960,0
"К",961,1922
"К",962,962
"К",963,16371
"К",964,8676
"К",965,0
"К",966,0
"К",967,0
"К",968,0
"К",969,0
"К",970,6790
"К",971,0
"К",972,0
"К",973,0
"К",974,974
"К",975,0
"К",976,0
"К",977,0
"К",978,0
"К",979,0
"К",980,0
"К",981,0
"К",982,0
"К",983,0
"К",984,0
"К",985,0
"К",986,0
"К",987,0
"К",988,0
"К",989,0
"К",990,0
"К",991,0
"К",992,992
"К",993,0
"К",994,0
"К",995,0
"К",996,0
"К",997,0
"К",998,0
"К",999,0
"К",1000,0
"К",1001,0
"К",1002,0
"К",1003,0
"К",1004,2008
"К",1005,0
"К",1006,0
"К",1007,0
"К",1008,0
"К",1009,0
"К",1010,0
"К",1011,0
"К",1012,0
"К",1013,2026
"К",1014,0
"К",1015,1015
"К",1016,0
"К",1017,0
"К",1018,0
"К",1019,0
"К",1020,0
"К",1021,0
"К",1022,0
"К",1023,0
"К",1024,0
"К",1025,0
"К",1026,0
"К",1027,0
"К",1028,0
"К",1029,0
"К",1030,0
"К",1031,0
"К",1032,8256
"К",1033,0
"К",1034,1034
"К",1035,0
"К",1036,0
"К",1037,0
"К",1038,0
"К",1039,0
"К",1040,0
"К",1041,1041
"К",1042,0
"К",1043,0
"К",1044,0
"К",1045,0
"К",1046,0
"К",1047,0
"К",1048,0
"К",1049,0
"К",1050,0
"К",1051,0
"К",1052,1052
"К",1053,0
"К",1054,0
"К",1055,2110
"К",1056,0
"К",1057,0
"К",1058,0
"К",1059,0
"К",1060,0
"К",1061,0
"К",1062,0
"К",1063,0
"К",1064,2128
"К",1065,0
"К",1066,0
"К",1067,0
"К",1068,0
"К",1069,0
"К",1070,0
"К",1071,0
"К",1072,1072
"К",1073,1073
"К",1074,0
"К",1075,0
"К",1076,0
"К",1077,0
"К",1078,0
"К",1079,1079
"К",1080,0
"К",1081,0
"К",1082,0
"К",1083,0
"К",1084,0
"К",1085,0
"К",1086,0
"К",1087,0
"К",1088,0
"К",1089,0
"К",1090,0
"К",1091,0
"К",1092,0
"К",1093,0
"К",1094,0
"К",1095,0
"К",1096,0
"К",1097,0
"К",1098,0
"К",1099,0
"К",1100,0
"К",1101,0
"К",1102,0
"К",1103,0
"К",1104,0
"К",1105,0
"К",1106,0
"К",1107,0
"К",1108,0
"К",1109,0
"К",1110,0
"К",1111,0
"К",1112,0
"К",1113,0
"К",1114,0
"К",1115,0
"К",1116,0
"К",1117,0
"К",1118,0
"К",1119,0
"К",1120,0
"К",1121,0
"К",1122,0
"К",1123,0
"К",1124,0
"К",1125,0
"К",1126,0
"К",1127,0
"К",1128,0
"К",1129,0
"К",1130,0
"К",1131,0
"К",1132,0
"К",1133,0
"К",1134,0
"К",1135,0
"К",1136,0
"К",1137,0
"К",1138,0
"К",1139,0
"К",1140,0
"К",1141,0
"К",1142,0
"К",1143,0
"К",1144,0
"К",1145,0
"К",1146,0
"К",1147,0
"К",1148,0
"К",1149,0
"К",1150,0
"К",1151,0
"К",1152,0
"К",1153,0
"К",1154,0
"К",1155,0
"К",1156,0
"К",1157,0
"К",1158,0
"К",1159,0
"К",1160,0
"К",1161,0
"К",1162,0
"К",1163,0
"К",1164,0
"К",1165,1165
"К",1166,0
"К",1167,0
"К",1168,0
"К",1169,0
"К",1170,0
"К",1171,0
"К",1172,0
"К",1173,0
"К",1174,0
"К",1175,0
"К",1176,0
"К",1177,0
"К",1178,1178
"К",1179,0
"К",1180,0
"К",1181,0
"К",1182,0
"К",1183,0
"К",1184,0
"К",1185,0
"К",1186,0
"К",1187,0
"К",1188,0
"К",1189,0
"К",1190,0
"К",1191,0
"К",1192,0
"К",1193,0
"К",1194,0
"К",1195,0
"К",1196,0
"К",1197,0
"К",1198,0
"К",1199,0
"К",1200,0
"К",1201,0
"К",1202,0
"К",1203,0
"К",1204,0
"К",1205,0
"К",1206,0
"К",1207,0
"К",1208,0
"К",1209,0
"К",1210,0
"К",1211,0
"К",1212,0
"К",1213,0
"К",1214,0
"К",1215,0
"К",1216,0
"К",1217,0
"К",1218,0
"К",1219,0
"К",1220,0
"К",1221,0
"К",1222,0
"К",1223,0
"К",1224,0
"К",1225,0
"К",1226,0
"К",1227,0
"К",1228,0
"К",1229,0
"К",1230,0
"К",1231,0
"К",1232,0
"К",1233,0
"К",1234,0
"К",1235,0
"К",1236,0
"К",1237,0
"К",1238,0
"К",1239,0
"К",1240,0
"К",1241,0
"К",1242,0
"К",1243,0
"К",1244,0
"К",1245,0
"К",1246,0
"К",1247,0
"К",1248,0
"К",1249,0
"К",1250,0
"К",1251,0
"К",1252,0
"К",1253,0
"К",1254,0
"К",1255,0
"К",1256,0
"К",1257,0
"К",1258,0
"К",1259,0
"К",1260,0
"К",1261,0
"К",1262,0
"К",1263,0
"К",1264,0
"К",1265,0
"К",1266,0
"К",1267,0
"К",1268,0
"К",1269,0
"К",1270,0
"К",1271,0
"К",1272,0
"К",1273,0
"К",1274,0
"К",1275,0
"К",1276,0
"К",1277,0
"К",1278,0
"К",1279,0
"К",1280,0
"К",1281,0
"К",1282,0
"К",1283,0
"К",1284,0
"К",1285,0
"К",1286,0
"К",1287,0
"К",1288,0
"К",1289,0
"К",1290,0
"К",1291,0
"К",1292,0
"К",1293,0
"К",1294,0
"К",1295,0
"К",1296,2592
"К",1297,0
"К",1298,0
"К",1299,0
"К",1300,0
"К",1301,0
"К",1302,0
"К",1303,0
"К",1304,0
"К",1305,0
"К",1306,0
"К",1307,0
"К",1308,0
"К",1309,0
"К",1310,0
"К",1311,0
"К",1312,0
"К",1313,0
"К",1314,0
"К",1315,0
"К",1316,0
"К",1317,0
"К",1318,0
"К",1319,0
"К",1320,0
"К",1321,0
"К",1322,0
"К",1323,0
"К",1324,0
"К",1325,0
"К",1326,0
"К",1327,0
"К",1328,0
"К",1329,0
"К",1330,0
"К",1331,0
"К",1332,0
"К",1333,0
"К",1334,0
"К",1335,0
"К",1336,0
"К",1337,0
"К",1338,0
"К",1339,0
"К",1340,0
"К",1341,0
"К",1342,0
"К",1343,0
"К",1344,0
"К",1345,0
"К",1346,0
"К",1347,0
"К",1348,0
"К",1349,0
"К",1350,0
"К",1351,0
"К",1352,0
"К",1353,0
"К",1354,0
"К",1355,0
"К",1356,0
"К",1357,0
"К",1358,0
"К",1359,0
"К",1360,0
"К",1361,0
"К",1362,0
"К",1363,0
"К",1364,0
"К",1365,0
"К",1366,0
"К",1367,0
"К",1368,0
"К",1369,0
"К",1370,0
"К",1371,0
"К",1372,0
"К",1373,0
"К",1374,0
"К",1375,0
"К",1376,0
"К",1377,0
"К",1378,0
"К",1379,0
"К",1380,0
"К",1381,0
"К",1382,0
"К",1383,0
"К",1384,0
"К",1385,1385
"К",1386,0
"К",1387,0
"К",1388,0
"К",1389,0
"К",1390,0
"К",1391,0
"К",1392,0
"К",1393,0
"К",1394,0
"К",1395,0
"К",1396,0
"К",1397,0
"К",1398,0
"К",1399,0
"К",1400,0
"К",1401,0
"К",1402,0
"К",1403,0
"К",1404,0
"К",1405,0
"К",1406,0
"К",1407,0
"К",1408,0
"К",1409,0
"К",1410,0
"К",1411,0
"К",1412,0
"К",1413,0
"К",1414,0
"К",1415,0
"К",1416,0
"К",1417,0
"К",1418,0
"К",1419,0
"К",1420,0
"К",1421,0
"К",1422,0
"К",1423,0
"К",1424,0
"К",1425,1425
"К",1426,0
"К",1427,0
"К",1428,0
"К",1429,0
"К",1430,0
"К",1431,0
"К",1432,0
"К",1433,0
"К",1434,0
"К",1435,0
"К",1436,0
"К",1437,0
"К",1438,0
"К",1439,0
"К",1440,0
"К",1441,0
"К",1442,0
"К",1443,0
"К",1444,0
"К",1445,0
"К",1446,0
"К",1447,0
"К",1448,0
"К",1449,0
"К",1450,0
"К",1451,0
"К",1452,0
"К",1453,0
"К",1454,0
"К",1455,0
"К",1456,0
"К",1457,0
"К",1458,0
"К",1459,0
"К",1460,0
"К",1461,0
"К",1462,0
"К",1463,0
"К",1464,0
"К",1465,0
"К",1466,0
"К",1467,0
"К",1468,0
"К",1469,0
"К",1470,0
"К",1471,0
"К",1472,0
"К",1473,0
"К",1474,0
"К",1475,0
"К",1476,0
"К",1477,0
"К",1478,0
"К",1479,0
"К",1480,0
"К",1481,0
"К",1482,0
"К",1483,0
"К",1484,0
"К",1485,0
"К",1486,0
"К",1487,0
"К",1488,0
"К",1489,0
"К",1490,0
"К",1491,0
"К",1492,0
"К",1493,0
"К",1494,0
"К",1495,0
"К",1496,0
"К",1497,0
"К",1498,0
"К",1499,0
"К",1500,0
"Л",1,0
"Л",2,0
"Л",3,0
"Л",4,0
"Л",5,70
"Л",6,0
"Л",7,91
"Л",8,64
"Л",9,0
"Л",10,0
"Л",11,11
"Л",12,24
"Л",13,0
"Л",14,98
"Л",15,0
"Л",16,80
"Л",17,0
"Л",18,0
"Л",19,133
"Л",20,240
"Л",21,0
"Л",22,154
"Л",23,0
"Л",24,48
"Л",25,25
"Л",26,26
"Л",27,0
"Л",28,0
"Л",29,0
"Л",30,150
"Л",31,0
"Л",32,0
"Л",33,0
"Л",34,0
"Л",35,0
"Л",36,0
"Л",37,0
"Л",38,0
"Л",39,0
"Л",40,0
"Л",41,0
"Л",42,14994
"Л",43,0
"Л",44,56100
"Л",45,12690
"Л",46,0
"Л",47,517
"Л",48,0
"Л",49,8085
"Л",50,2750
"Л",51,23715
"Л",52,260
"Л",53,2809
"Л",54,270
"Л",55,8525
"Л",56,6104
"Л",57,0
"Л",58,1160
"Л",59,6903
"Л",60,840
"Л",61,61
"Л",62,0
"Л",63,2646
"Л",64,384
"Л",65,2340
"Л",66,132
"Л",67,1608
"Л",68,0
"Л",69,276
"Л",70,0
"Л",71,213
"Л",72,0
"Л",73,73
"Л",74,74
"Л",75,0
"Л",76,76
"Л",77,154
"Л",78,0
"Л",79,0
"Л",80,0
"Л",81,81
"Л",82,0
"Л",83,166
"Л",84,84
"Л",85,0
"Л",86,172
"Л",87,87
"Л",88,0
"Л",89,0
"Л",90,90
"Л",91,0
"Л",92,368
"Л",93,186
"Л",94,0
"Л",95,95
"Л",96,0
"Л",97,97
"Л",98,294
"Л",99,396
"Л",100,0
"Л",101,101
"Л",102,102
"Л",103,309
"Л",104,0
"Л",105,210
"Л",106,212
"Л",107,535
"Л",108,972
"Л",109,872
"Л",110,990
"Л",111,333
"Л",112,336
"Л",113,339
"Л",114,114
"Л",115,460
"Л",116,464
"Л",117,468
"Л",118,826
"Л",119,476
"Л",120,840
"Л",121,484
"Л",122,488
"Л",123,1230
"Л",124,496
"Л",125,1125
"Л",126,882
"Л",127,762
"Л",128,1664
"Л",129,1548
"Л",130,1820
"Л",131,917
"Л",132,1848
"Л",133,798
"Л",134,938
"Л",135,1215
"Л",136,1088
"Л",137,1507
"Л",138,1656
"Л",139,1112
"Л",140,1540
"Л",141,4230
"Л",142,3550
"Л",143,1144
"Л",144,1296
"Л",145,2320
"Л",146,3212
"Л",147,3234
"Л",148,3108
"Л",149,3129
"Л",150,1800
"Л",151,2416
"Л",152,2280
"Л",153,3672
"Л",154,2618
"Л",155,2170
"Л",156,3276
"Л",157,4396
"Л",158,2212
"Л",159,3021
"Л",160,7040
"Л",161,3542
"Л",162,5670
"Л",163,3260
"Л",164,2296
"Л",165,3465
"Л",166,3154
"Л",167,5010
"Л",168,4200
"Л",169,3042
"Л",170,8160
"Л",171,4446
"Л",172,4300
"Л",173,7093
"Л",174,4350
"Л",175,8400
"Л",176,6688
"Л",177,6549
"Л",178,6586
"Л",179,12530
"Л",180,6120
"Л",181,3801
"Л",182,6188
"Л",183,6405
"Л",184,11776
"Л",185,10730
"Л",186,7254
"Л",187,9724
"Л",188,6768
"Л",189,10206
"Л",190,7030
"Л",191,8213
"Л",192,7104
"Л",193,14475
"Л",194,14162
"Л",195,8775
"Л",196,11564
"Л",197,10244
"Л",198,10098
"Л",199,11144
"Л",200,9400
"Л",201,14472
"Л",202,16766
"Л",203,11571
"Л",204,18360
"Л",205,17015
"Л",206,22866
"Л",207,20493
"Л",208,6240
"Л",209,11704
"Л",210,9660
"Л",211,9495
