"tipvg","price","count"
"К",0,0
"К",10,2320
"К",20,959640
"К",30,623940
"К",40,545720
"К",50,1763250
"К",60,5400000
"К",70,9679530
"К",80,12799600
"К",90,17707500
"К",100,24975200
"К",110,30472750
"К",120,41442960
"К",130,50692590
"К",140,63766640
"К",150,74368350
"К",160,83572480
"К",170,95690960
"К",180,98233740
"К",190,105966990
"К",200,117021000
"К",210,124672380
"К",220,124245220
"К",230,128970660
"К",240,120957120
"К",250,105110750
"К",260,98863700
"К",270,75567330
"К",280,62571880
"К",290,45335410
"К",300,35600700
"К",310,25860820
"К",320,21029760
"К",330,18333480
"К",340,14993660
"К",350,13643350
"К",360,12988080
"К",370,11454090
"К",380,10981620
"К",390,7025850
"К",400,10965200
"К",410,4855630
"К",420,4364220
"К",430,3820120
"К",440,3408240
"К",450,1791900
"К",460,1397940
"К",470,1286860
"К",480,862080
"К",490,560070
"К",500,835500
"К",510,788460
"К",520,496600
"К",530,519930
"К",540,137700
"К",550,268950
"К",560,154560
"К",570,187530
"К",580,232580
"К",590,178770
"К",600,211800
"К",610,106750
"К",620,107260
"К",630,68670
"К",640,65280
"К",650,25350
"К",660,30360
"К",670,30820
"К",680,13600
"К",690,13800
"К",700,42000
"К",710,16330
"К",720,19440
"К",730,31390
"К",740,122100
"К",750,249750
"К",760,171760
"К",770,83160
"К",780,274560
"К",790,248850
"К",800,335200
"К",810,233280
"К",820,101680
"К",830,74700
"К",840,100800
"К",850,48450
"К",860,65360
"К",870,44370
"К",880,44000
"К",890,23140
"К",900,127800
"К",910,142870
"К",920,126960
"К",930,153450
"К",940,109980
"К",950,84550
"К",960,27840
"К",970,7760
"К",980,0
"К",990,990
"К",1000,2000
"К",1010,3030
"К",1020,0
"К",1030,9270
"К",1040,1040
"К",1050,3150
"К",1060,2120
"К",1070,3210
"К",1080,0
"К",1090,0
"К",1100,0
"К",1110,0
"К",1120,0
"К",1130,0
"К",1140,0
"К",1150,0
"К",1160,1160
"К",1170,1170
"К",1180,0
"К",1190,0
"К",1200,0
"К",1210,0
"К",1220,0
"К",1230,0
"К",1240,0
"К",1250,0
"К",1260,0
"К",1270,0
"К",1280,0
"К",1290,2580
"К",1300,0
"К",1310,0
"К",1320,0
"К",1330,0
"К",1340,0
"К",1350,0
"К",1360,0
"К",1370,0
"К",1380,1380
"К",1390,0
"К",1400,0
"К",1410,0
"К",1420,1420
"К",1430,0
"К",1440,0
"К",1450,0
"К",1460,0
"К",1470,0
"К",1480,0
"К",1490,0
"К",1500,0
"Л",0,0
"Л",10,220
"Л",20,460
"Л",30,150
"Л",40,83600
"Л",50,49200
"Л",60,7740
"Л",70,560
"Л",80,560
"Л",90,1440
"Л",100,3100
"Л",110,4620
"Л",120,9120
"Л",130,12480
"Л",140,25900
"Л",150,27000
"Л",160,39680
"Л",170,67150
"Л",180,76860
"Л",190,100320
"Л",200,145600
"Л",210,168630
"Л",220,221540
"Л",230,295090
"Л",240,377280
"Л",250,498750
"Л",260,563420
"Л",270,628290
"Л",280,750680
"Л",290,1230760
"Л",300,1168800
"Л",310,1518690
"Л",320,1794560
"Л",330,1930500
"Л",340,2114120
"Л",350,2445450
"Л",360,2743200
"Л",370,2996260
"Л",380,3657500
"Л",390,3933540
"Л",400,3919600
"Л",410,4260720
"Л",420,4953480
"Л",430,5347480
"Л",440,4529800
"Л",450,5113350
"Л",460,5988740
"Л",470,5212770
"Л",480,5144640
"Л",490,6495930
"Л",500,6559000
"Л",510,6652440
"Л",520,5690880
"Л",530,6863500
"Л",540,7777080
"Л",550,7157150
"Л",560,7728000
"Л",570,6650190
"Л",580,7544640
"Л",590,8926110
"Л",600,8345400
"Л",610,7448100
"Л",620,7485260
"Л",630,6950160
"Л",640,7048960
"Л",650,7423000
"Л",660,4837800
"Л",670,5882600
"Л",680,6440280
"Л",690,5327490
"Л",700,4740400
"Л",710,4260710
"Л",720,3397680
"Л",730,4163920
"Л",740,3207900
"Л",750,4187250
"Л",760,3209480
"Л",770,2017400
"Л",780,2448420
"Л",790,2761050
"Л",800,2776800
"Л",810,2984850
"Л",820,3209480
"Л",830,2684220
"Л",840,2304120
"Л",850,1771400
"Л",860,1229800
"Л",870,1909650
"Л",880,2337280
"Л",890,1991820
"Л",900,1815300
"Л",910,1094730
"Л",920,2356120
"Л",930,1238760
"Л",940,1268060
"Л",950,1246400
"Л",960,1598400
"Л",970,1453060
"Л",980,822220
"Л",990,505890
"Л",1000,552000
"Л",1010,1779620
"Л",1020,561000
"Л",1030,605640
"Л",1040,477360
"Л",1050,573300
"Л",1060,283020
"Л",1070,48150
"Л",1080,37800
"Л",1090,23980
"Л",1100,9900
"Л",1110,22200
"Л",1120,32480
"Л",1130,14690
"Л",1140,25080
"Л",1150,5750
"Л",1160,8120
"Л",1170,4680
"Л",1180,4720
"Л",1190,1190
"Л",1200,0
"Л",1210,0
"Л",1220,1220
"Л",1230,0
"Л",1240,0
"Л",1250,0
"Л",1260,0
"Л",1270,0
"Л",1280,0
"Л",1290,1290
